letter,w,g,c,q,p,t,b,d,e,u,v,h,f,s,x,l,j,k,m,n,a,o,i,r,y,z
w,0,6,6,8,8,10,35,27,18,30,21,18,13,7,3,38,13,21,25,39,83,77,22,9,16,97
g,6,0,41,142,185,128,182,151,242,222,172,5,3,7,3,6,20,5,25,34,39,27,13,10,12,5
c,6,41,0,73,385,274,203,90,129,78,81,22,8,20,11,2,16,11,18,26,11,5,8,3,12,8
q,8,142,73,0,446,265,137,106,118,153,61,32,0,10,3,7,19,20,10,12,11,9,13,10,5,14
p,8,185,385,446,0,786,237,235,283,95,125,27,13,7,7,6,26,45,33,29,16,13,13,1,4,34
t,10,128,274,265,786,0,227,201,287,40,72,32,18,15,7,2,14,19,15,20,20,40,15,10,9,10
b,35,182,203,137,237,227,0,322,379,139,290,18,8,4,3,9,35,13,21,23,27,14,15,3,8,26
d,27,151,90,106,235,201,322,0,418,101,252,17,5,9,5,6,24,12,16,27,28,10,14,5,7,14
e,18,242,129,118,283,287,379,418,0,190,174,53,15,23,25,11,10,16,72,112,26,27,114,19,12,10
u,30,222,78,153,95,40,139,101,190,0,426,28,6,8,15,3,31,25,28,35,38,25,55,5,8,12
v,21,172,81,61,125,72,290,252,174,426,0,18,4,4,1,3,25,23,12,31,26,20,9,6,11,21
h,18,5,22,32,27,32,18,17,53,28,18,0,81,194,191,16,23,43,18,55,104,50,4,8,4,53
f,13,3,8,0,13,18,8,5,15,6,4,81,0,824,483,41,13,37,35,40,19,28,7,18,12,121
s,7,7,20,10,7,15,4,9,23,8,4,194,824,0,575,60,40,41,44,49,42,44,24,20,15,120
x,3,3,11,3,7,7,3,5,25,15,1,191,483,575,0,13,8,15,11,15,9,7,5,11,6,78
l,38,6,2,7,6,2,9,6,11,3,3,16,41,60,13,0,74,68,115,76,203,101,86,193,123,47
j,13,20,16,19,26,14,35,24,10,31,25,23,13,40,8,74,0,222,46,106,161,87,14,18,118,150
k,21,5,11,20,45,19,13,12,16,25,23,43,37,41,15,68,222,0,82,144,246,101,13,27,31,80
m,25,25,18,10,33,15,21,16,72,28,12,18,35,44,11,115,46,82,0,846,151,339,83,65,69,48
n,39,34,26,12,29,20,23,27,112,35,31,55,40,49,15,76,106,144,846,0,360,89,77,52,58,58
a,83,39,11,11,16,20,27,28,26,38,26,104,19,42,9,203,161,246,151,360,0,594,20,36,28,26
o,77,27,5,9,13,40,14,10,27,25,20,50,28,44,7,101,87,101,339,89,594,0,54,56,22,53
i,22,13,8,13,13,15,15,14,114,55,9,4,7,24,5,86,14,13,83,77,20,54,0,292,164,7
r,9,10,3,10,1,10,3,5,19,5,6,8,18,20,11,193,18,27,65,52,36,56,292,0,194,30
y,16,12,12,5,4,9,8,7,12,8,11,4,12,15,6,123,118,31,69,58,28,22,164,194,0,41
z,97,5,8,14,34,10,26,14,10,12,21,53,121,120,78,47,150,80,48,58,26,53,7,30,41,0
